"filename","ID","Ch","BW","t_min","t_max","t_mean","N_mo2","smr_mean10minVal","smr_SD10minVal","smr_CV10minVal","SMR_low10quant","SMR_low15quant","SMR_low20quant","smr_mlnd","smr_CVmlnd","smr_Nmlnd","mmr","mmr_overall","AS_smr_mean10minVal","AS_SMR_low10quant","AS_SMR_low15quant","AS_SMR_low20quant","AS_smr_mlnd","AS_smr_mean10minVal_overall","AS_SMR_low10quant_overall","AS_SMR_low15quant_overall","AS_SMR_low20quant_overall","AS_smr_mlnd_overall","mmr_length_cycle","scaling_exponent_mmr","scaling_exponent_smr","common_mass"
"2024-02-16_093548_021624_AMA_15111214131112_cory_B_converted_analyzed_SMR","B-A14-P3","Ch1","3.62e-05","13.37","13.37","13.37","4","0.963037088568073","0.991758087659382","0.313621444489658","0.119664966709764","0.136202246426209","0.152739526142653","0","0","0",NA,"2.13535302452073",NA,NA,NA,NA,NA,"1.17231593595266","2.01568805781097","1.99915077809452","1.98261349837808","2.13535302452073",NA,"1","1","1"
"2024-02-16_093548_021624_AMA_15111214131112_cory_B_converted_analyzed_SMR","B-A13-P8","Ch2","0.0001168","13.37","13.37","13.37","4","0.525291180546701","0.506982335547279","0.160321891380115","0.0614614069546618","0.0836559943019911","0.10585058164932","0","0","0",NA,"1.0138400019528",NA,NA,NA,NA,NA,"0.4885488214061","0.952378594998139","0.93018400765081","0.907989420303481","1.0138400019528",NA,"1","1","1"
"2024-02-16_093548_021624_AMA_15111214131112_cory_B_converted_analyzed_SMR","B-A11-P4","Ch3","6.29e-05","13.37","13.37","13.37","4","0.736661207066656","0.756669043880959","0.239279761360572","0.0950538577604696","0.119424255304464","0.143794652848458","0","0","0",NA,"1.67771522345001",NA,NA,NA,NA,NA,"0.941054016383352","1.58266136568954","1.55829096814554","1.53392057060155","1.67771522345001",NA,"1","1","1"
"2024-02-16_093548_021624_AMA_15111214131112_cory_B_converted_analyzed_SMR","B-A12-P6","Ch4","0.0001248","13.37","13.37","13.37","4","0.683813703062164","0.309442782578886","0.0978543998449553","0.494972070214455","0.504722684757486","0.514473299300517","0","0","0",NA,"1.14379512788196",NA,NA,NA,NA,NA,"0.459981424819791","0.6488230576675","0.639072443124469","0.629321828581438","1.14379512788196",NA,"1","1","1"
