"filename","ID","Ch","BW","t_min","t_max","t_mean","N_mo2","smr_mean10minVal","smr_SD10minVal","smr_CV10minVal","SMR_low10quant","SMR_low15quant","SMR_low20quant","smr_mlnd","smr_CVmlnd","smr_Nmlnd","mmr","mmr_overall","AS_smr_mean10minVal","AS_SMR_low10quant","AS_SMR_low15quant","AS_SMR_low20quant","AS_smr_mlnd","AS_smr_mean10minVal_overall","AS_SMR_low10quant_overall","AS_SMR_low15quant_overall","AS_SMR_low20quant_overall","AS_smr_mlnd_overall","mmr_length_cycle","scaling_exponent_mmr","scaling_exponent_smr","common_mass"
"2024-02-21_150109_022124_c1b13e2a5d9d8e14_cory_A2_converted_analyzed_SMR",NA,"Ch1","0.0001544","13.26","13.88","13.5","2","0.757046240914047","0.0191415466263431","0.00605308852775562","0.746218146976538","0.747571658718727","0.748925170460915","0","0","0",NA,"0.770581358335932",NA,NA,NA,NA,NA,"0.0135351174218857","0.0243632113593943","0.0230096996172053","0.0216561878750173","0.770581358335932",NA,"1","1","1"
"2024-02-21_150109_022124_c1b13e2a5d9d8e14_cory_A2_converted_analyzed_SMR",NA,"Ch2","8.89e-05","13.26","13.69","13.43","1","0.153904802993035",NA,NA,"0.153904802993035","0.153904802993035","0.153904802993035","0","0","0",NA,"0.153904802993035",NA,NA,NA,NA,NA,"0","-3.05311331771918e-16","-3.05311331771918e-16","-3.05311331771918e-16","0.153904802993035",NA,"1","1","1"
"2024-02-21_150109_022124_c1b13e2a5d9d8e14_cory_A2_converted_analyzed_SMR",NA,"Ch4","3.95e-05","13.26","13.69","13.43","1","0.626526776970887",NA,NA,"0.626526776970887","0.626526776970887","0.626526776970887","0","0","0",NA,"0.626526776970887",NA,NA,NA,NA,NA,"0","-2.22044604925031e-16","-2.22044604925031e-16","-2.22044604925031e-16","0.626526776970887",NA,"1","1","1"
