"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min40_46",40.5,0.823451199056932,8.27086149792423,-0.00530263205376103,13.44,13.44,13.44,"Ch1","2024-02-15","SMR",6,-5.09323277821635e-16
"min40_46",40.5,0.756068037873417,8.27192327169452,-0.00474186675501984,13.44,13.44,13.44,"Ch2","2024-02-15","SMR",6,-5.09323277821635e-16
"min40_46",40.5,0.814527908303349,8.26029350118991,-0.00463406068247468,13.44,13.44,13.44,"Ch3","2024-02-15","SMR",6,-5.09323277821635e-16
"min40_46",40.5,0.81670684375246,8.19596091402226,-0.00497830089410201,13.44,13.44,13.44,"Ch4","2024-02-15","SMR",6,-5.09323277821635e-16
"min67_77",67,0.933531342300319,8.4272660820332,-0.00579760687457395,13.44,13.44,13.44,"Ch1","2024-02-15","SMR",10,-5.09323277821635e-16
"min67_77",67,0.912511926342575,8.43379040589627,-0.00544970152123549,13.44,13.44,13.44,"Ch2","2024-02-15","SMR",10,-5.09323277821635e-16
"min67_77",67,0.928790833298591,8.45756915636428,-0.00597873454501051,13.44,13.44,13.44,"Ch3","2024-02-15","SMR",10,-5.09323277821635e-16
"min67_77",67,0.915478109760249,8.32408471234843,-0.00520694177246117,13.44,13.44,13.44,"Ch4","2024-02-15","SMR",10,-5.09323277821635e-16
