"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min280.5_300",280.5,"0.499","6.65",0.00274,"14.67","15.23","14.9","7.39","7.49","7.44","Ch2","2023-12-13 02:35:12.821","SMR","19.47","12-12_215"
"min300.5_320",300.5,"0.475","8.16",0.0025,"14.75","15.15","14.96","7.33","7.43","7.38","Ch2","2023-12-13 02:55:13.193","SMR","19.47","12-12_215"
"min320.5_340",320.5,"0.778","8.86",0.00447,"14.66","14.97","14.79","7.32","7.43","7.38","Ch2","2023-12-13 03:15:12.615","SMR","19.47","12-12_215"
"min0.5_20",0.5,"0.223","8.09",0.00129,"14.68","15.08","14.8","8.01","8.1","8.07","Ch3","2023-12-12 21:55:12.996","SMR","19.47","12-12_215"
"min20.5_40",20.5,"0.141","8.03",0.00123,"14.8","15.09","14.93","8.02","8.11","8.07","Ch3","2023-12-12 22:15:12.392","SMR","19.47","12-12_215"
"min40.5_60",40.5,"0.631","7.9",0.00317,"14.68","15.24","14.99","8","8.11","8.06","Ch3","2023-12-12 22:35:12.731","SMR","19.48","12-12_215"
"min60.5_80",60.5,"0.934","8.46",0.00614,"14.67","15.12","14.86","7.96","8.1","8.03","Ch3","2023-12-12 22:55:12.376","SMR","19.47","12-12_215"
"min80.5_100",80.5,"0.286","8.21",0.00224,"14.72","15.17","14.86","7.95","8.05","8.01","Ch3","2023-12-12 23:15:12.909","SMR","19.47","12-12_215"
"min100.5_120",100.5,"0.635","7.62",0.00318,"14.77","15.25","14.99","7.91","8.01","7.97","Ch3","2023-12-12 23:35:12.293","SMR","19.47","12-12_215"
"min120.5_140",120.5,"0.385","8.3",0.00279,"14.76","15.36","14.95","7.84","8","7.94","Ch3","2023-12-12 23:55:12.719","SMR","19.48","12-12_215"
"min140.5_160",140.5,"0.912","8.79",0.00576,"14.68","15.23","14.83","7.82","7.98","7.92","Ch3","2023-12-13 00:15:13.173","SMR","19.47","12-12_215"
"min160.5_180",160.5,"0.096","7.69",0.00118,"14.72","15.26","14.88","7.83","7.94","7.89","Ch3","2023-12-13 00:35:12.835","SMR","19.46","12-12_215"
"min180.5_200",180.5,"0.236","7.51",0.0018,"14.78","15.22","14.99","7.79","7.9","7.85","Ch3","2023-12-13 00:55:12.947","SMR","19.47","12-12_215"
"min200.5_220",200.5,"0.948","9.03",0.00569,"14.72","15.18","14.91","7.77","7.9","7.83","Ch3","2023-12-13 01:15:12.326","SMR","19.47","12-12_215"
"min220.5_240",220.5,"0.126","7.5",0.00139,"14.71","15.18","14.89","7.77","7.86","7.83","Ch3","2023-12-13 01:35:12.711","SMR","19.48","12-12_215"
"min240.5_260",240.5,"0.252","7.32",0.00184,"14.68","15.16","14.92","7.72","7.83","7.78","Ch3","2023-12-13 01:55:13.096","SMR","19.47","12-12_215"
"min260.5_280",260.5,"0.929","9.33",0.00586,"14.69","15.17","14.89","7.69","7.81","7.75","Ch3","2023-12-13 02:15:12.461","SMR","19.47","12-12_215"
"min280.5_300",280.5,"0.559","6.77",0.00336,"14.67","15.23","14.9","7.68","7.79","7.75","Ch3","2023-12-13 02:35:12.821","SMR","19.47","12-12_215"
"min300.5_320",300.5,"0.364","8.35",0.00215,"14.75","15.15","14.96","7.64","7.74","7.69","Ch3","2023-12-13 02:55:13.193","SMR","19.47","12-12_215"
"min320.5_340",320.5,"0.754","9.13",0.00435,"14.66","14.97","14.79","7.63","7.74","7.69","Ch3","2023-12-13 03:15:12.615","SMR","19.47","12-12_215"
