"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min40_76",40.0163666666667,0.954154689443015,7.74076096539618,-0.00274378951239121,19.03,19.34,19.19,"Ch1","2023-12-12","SMR",36.0161666666667,-0.00386729795420032
"min40_76",40.0163666666667,0.9547410542816,7.86151225713367,-0.00283619850830792,19.03,19.34,19.19,"Ch2","2023-12-12","SMR",36.0161666666667,-0.00386729795420032
"min40_76",40.0163666666667,0.93323368551613,8.0760872421269,-0.00195567846436071,19.03,19.34,19.19,"Ch3","2023-12-12","SMR",36.0161666666667,-0.00386729795420032
