"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min620.5_640",620.5,"0.12","9.07",0.00144,"13.26","13.59","13.41","8.11","8.2","8.16","Ch1","2024-02-15 07:27:45.542","SMR","19.47","02-14_210"
"min640.5_660",640.5,"0.955","3.59",0.00705,"13.13","13.68","13.44","8.1","8.24","8.17","Ch1","2024-02-15 07:47:44.904","SMR","19.47","02-14_210"
"min660.5_680",660.5,"0.704","11.41",0.00487,"13.14","13.65","13.44","8.1","8.23","8.15","Ch1","2024-02-15 08:07:45.285","SMR","19.48","02-14_210"
"min0.5_20",0.5,"0.548","8.06",0.00213,"13.16","13.64","13.37","8","8.07","8.03","Ch2","2024-02-14 21:07:45.471","SMR","19.47","02-14_210"
"min20.5_40",20.5,"0.443","7.99",0.00362,"13.24","13.62","13.41","8.02","8.15","8.1","Ch2","2024-02-14 21:27:45.091","SMR","19.47","02-14_210"
"min40.5_60",40.5,"0.833","7.83",0.00531,"13.25","13.68","13.51","8.04","8.17","8.1","Ch2","2024-02-14 21:47:45.501","SMR","19.46","02-14_210"
"min60.5_80",60.5,"0.924","8.56",0.00639,"13.14","13.61","13.35","8.05","8.18","8.11","Ch2","2024-02-14 22:07:45.48","SMR","19.47","02-14_210"
"min80.5_100",80.5,"0.455","7.85",0.00319,"13.16","13.6","13.35","8.07","8.18","8.13","Ch2","2024-02-14 22:27:44.92","SMR","19.47","02-14_210"
"min100.5_120",100.5,"0.537","7.71",0.0036,"13.24","13.61","13.46","8.06","8.17","8.1","Ch2","2024-02-14 22:47:45.409","SMR","19.47","02-14_210"
"min120.5_140",120.5,"0.909","8.91",0.00608,"13.15","13.63","13.37","8.06","8.19","8.12","Ch2","2024-02-14 23:07:44.861","SMR","19.47","02-14_210"
"min140.5_160",140.5,"0.038","8.02",0.00076,"13.19","13.6","13.36","8.08","8.18","8.14","Ch2","2024-02-14 23:27:45.313","SMR","19.48","02-14_210"
"min160.5_180",160.5,"0.766","7.38",0.00433,"13.27","13.62","13.45","8.07","8.17","8.12","Ch2","2024-02-14 23:47:45.691","SMR","19.47","02-14_210"
"min180.5_200",180.5,"0.628","7.39",0.00385,"13.24","13.61","13.46","8.08","8.19","8.12","Ch2","2024-02-15 00:07:45.131","SMR","19.47","02-14_210"
"min200.5_220",200.5,"0.902","9.49",0.00646,"13.13","13.63","13.36","8.06","8.2","8.13","Ch2","2024-02-15 00:27:45.582","SMR","19.47","02-14_210"
"min220.5_240",220.5,"0.302","8.64",0.00224,"13.3","13.6","13.45","8.08","8.17","8.13","Ch2","2024-02-15 00:47:44.906","SMR","19.47","02-14_210"
"min240.5_260",240.5,"0.287","8.68",0.00219,"13.31","13.64","13.47","8.08","8.18","8.13","Ch2","2024-02-15 01:07:45.288","SMR","19.48","02-14_210"
"min260.5_280",260.5,"0.014","8.01",0.00048,"13.3","13.63","13.45","8.09","8.19","8.14","Ch2","2024-02-15 01:27:45.635","SMR","19.47","02-14_210"
