"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.927","7.95",0.00395,"14.6","14.87","14.71","7.86","7.96","7.91","Ch1","2023-12-08 16:47:04.59","SMR","19.47","12-08_164"
"min20.5_40",20.5,"0.06","7.86",0.00054,"14.74","15.07","14.94","7.82","7.88","7.85","Ch1","2023-12-08 17:07:05.046","SMR","19.48","12-08_164"
"min40.5_60",40.5,"0.877","8.07",0.0042,"14.7","14.92","14.8","7.8","7.9","7.86","Ch1","2023-12-08 17:27:04.519","SMR","19.47","12-08_164"
"min60.5_80",60.5,"0.168","7.71",0.00122,"14.81","15.21","15","7.74","7.84","7.79","Ch1","2023-12-08 17:47:04.96","SMR","19.48","12-08_164"
"min80.5_100",80.5,"0.956","8.23",0.00496,"14.73","15.05","14.88","7.73","7.84","7.78","Ch1","2023-12-08 18:07:05.343","SMR","19.47","12-08_164"
"min0.5_20",0.5,"0.797","7.96",0.00253,"14.6","14.87","14.71","7.89","7.97","7.93","Ch2","2023-12-08 16:47:04.59","SMR","19.47","12-08_164"
"min20.5_40",20.5,"0.001","7.89",8e-05,"14.74","15.07","14.94","7.85","7.92","7.88","Ch2","2023-12-08 17:07:05.046","SMR","19.48","12-08_164"
"min40.5_60",40.5,"0.877","8.11",0.00433,"14.7","14.92","14.8","7.84","7.95","7.9","Ch2","2023-12-08 17:27:04.519","SMR","19.47","12-08_164"
"min60.5_80",60.5,"0.248","7.73",0.00153,"14.81","15.21","15","7.79","7.89","7.84","Ch2","2023-12-08 17:47:04.96","SMR","19.48","12-08_164"
"min80.5_100",80.5,"0.953","8.29",0.00504,"14.73","15.05","14.88","7.78","7.89","7.83","Ch2","2023-12-08 18:07:05.343","SMR","19.47","12-08_164"
"min0.5_20",0.5,"0.793","8.23",0.00266,"14.6","14.87","14.71","8.16","8.23","8.2","Ch3","2023-12-08 16:47:04.59","SMR","19.47","12-08_164"
"min20.5_40",20.5,"0.016","8.16",0.00028,"14.74","15.07","14.94","8.12","8.19","8.15","Ch3","2023-12-08 17:07:05.046","SMR","19.48","12-08_164"
"min40.5_60",40.5,"0.892","8.4",0.00481,"14.7","14.92","14.8","8.1","8.22","8.16","Ch3","2023-12-08 17:27:04.519","SMR","19.47","12-08_164"
"min60.5_80",60.5,"0.116","7.94",0.0017,"14.81","15.21","15","8","8.12","8.06","Ch3","2023-12-08 17:47:04.96","SMR","19.48","12-08_164"
"min80.5_100",80.5,"0.963","8.53",0.00511,"14.73","15.05","14.88","8.02","8.13","8.07","Ch3","2023-12-08 18:07:05.343","SMR","19.47","12-08_164"
