"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min280.5_300",280.5,"0.766","9.22",0.00469,"13.3","13.77","13.51","7.79","7.92","7.86","Ch2","2024-02-20 23:59:26.845","SMR","19.48","02-20_191"
"min300.5_320",300.5,"0.766","6.63",0.00402,"13.19","13.75","13.47","7.81","7.93","7.87","Ch2","2024-02-21 00:19:27.218","SMR","19.47","02-20_191"
"min320.5_340",320.5,"0.634","9.23",0.00425,"13.2","13.73","13.5","7.78","7.91","7.83","Ch2","2024-02-21 00:39:26.575","SMR","19.47","02-20_191"
"min0.5_20",0.5,"0.008","7.87",0.00021,"13.27","13.72","13.47","7.84","7.91","7.87","Ch3","2024-02-20 19:19:27.014","SMR","19.47","02-20_191"
"min20.5_40",20.5,"0.656","7.73",0.00383,"13.42","13.73","13.59","7.8","7.91","7.85","Ch3","2024-02-20 19:39:26.599","SMR","19.47","02-20_191"
"min40.5_60",40.5,"0.762","8.12",0.00481,"13.22","13.64","13.4","7.82","7.94","7.88","Ch3","2024-02-20 19:59:27.088","SMR","19.47","02-20_191"
"min60.5_80",60.5,"0.452","7.69",0.00266,"13.28","13.65","13.45","7.82","7.92","7.88","Ch3","2024-02-20 20:19:26.847","SMR","19.47","02-20_191"
"min80.5_100",80.5,"0.695","7.54",0.00364,"13.37","13.68","13.54","7.82","7.92","7.86","Ch3","2024-02-20 20:39:27.091","SMR","19.47","02-20_191"
"min100.5_120",100.5,"0.563","7.54",0.00309,"13.35","13.68","13.54","7.84","7.93","7.88","Ch3","2024-02-20 20:59:26.48","SMR","19.47","02-20_191"
"min120.5_140",120.5,"0.033","7.78",0.00071,"13.36","13.69","13.52","7.82","7.92","7.88","Ch3","2024-02-20 21:19:26.862","SMR","19.48","02-20_191"
"min140.5_160",140.5,"0.865","8.66",0.0052,"13.25","13.74","13.47","7.82","7.94","7.88","Ch3","2024-02-20 21:39:27.237","SMR","19.47","02-20_191"
"min160.5_180",160.5,"0.008","7.94",3e-04,"13.37","13.67","13.51","7.85","7.93","7.89","Ch3","2024-02-20 21:59:26.588","SMR","19.47","02-20_191"
"min180.5_200",180.5,"0.511","7.35",0.0029,"13.24","13.68","13.43","7.85","7.95","7.9","Ch3","2024-02-20 22:19:26.964","SMR","19.47","02-20_191"
"min200.5_220",200.5,"0.309","7.38",0.00235,"13.36","13.72","13.56","7.83","7.93","7.87","Ch3","2024-02-20 22:39:26.361","SMR","19.47","02-20_191"
"min220.5_240",220.5,"0.715","8.93",0.00448,"13.23","13.7","13.43","7.83","7.95","7.9","Ch3","2024-02-20 22:59:26.723","SMR","19.47","02-20_191"
"min240.5_260",240.5,"0.781","6.87",0.00414,"13.24","13.66","13.46","7.85","7.96","7.91","Ch3","2024-02-20 23:19:27.077","SMR","19.47","02-20_191"
"min260.5_280",260.5,"0.002","7.92",0.00016,"13.3","13.75","13.57","7.83","7.92","7.88","Ch3","2024-02-20 23:39:26.424","SMR","19.47","02-20_191"
"min280.5_300",280.5,"0.751","9.16",0.00434,"13.3","13.77","13.51","7.84","7.96","7.9","Ch3","2024-02-20 23:59:26.845","SMR","19.48","02-20_191"
"min300.5_320",300.5,"0.764","6.65",0.0041,"13.19","13.75","13.47","7.86","7.98","7.93","Ch3","2024-02-21 00:19:27.218","SMR","19.47","02-20_191"
"min320.5_340",320.5,"0.559","9.11",0.0037,"13.2","13.73","13.5","7.85","7.96","7.89","Ch3","2024-02-21 00:39:26.575","SMR","19.47","02-20_191"
