"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min280.5_300",280.5,"0.412","8.94",0.00355,"13.17","13.79","13.43","7.83","7.98","7.91","Ch2","2024-02-19 01:28:31.081","SMR","19.47","02-18_204"
"min300.5_320",300.5,"0.425","8.97",0.00334,"13.13","13.56","13.33","7.86","7.99","7.93","Ch2","2024-02-19 01:48:31.45","SMR","19.48","02-18_204"
"min320.5_340",320.5,"0.872","6.21",0.00521,"13.04","13.59","13.32","7.86","7.99","7.94","Ch2","2024-02-19 02:08:31.816","SMR","19.47","02-18_204"
"min0.5_20",0.5,"0.802","7.79",0.00575,"13.09","13.52","13.27","7.76","7.9","7.84","Ch4","2024-02-18 20:48:31.683","SMR","19.47","02-18_204"
"min20.5_40",20.5,"0.477","7.73",0.00355,"13.23","13.63","13.45","7.79","7.92","7.84","Ch4","2024-02-18 21:08:31.305","SMR","19.47","02-18_204"
"min40.5_60",40.5,"0.817","8.13",0.00512,"13.15","13.82","13.38","7.77","7.93","7.87","Ch4","2024-02-18 21:28:31.74","SMR","19.46","02-18_204"
"min60.5_80",60.5,"0.477","7.7",0.00281,"13.07","13.57","13.3","7.85","7.95","7.9","Ch4","2024-02-18 21:48:31.696","SMR","19.47","02-18_204"
"min80.5_100",80.5,"0.075","7.75",0.00115,"13.18","13.68","13.44","7.79","7.91","7.86","Ch4","2024-02-18 22:08:31.098","SMR","19.47","02-18_204"
"min100.5_120",100.5,"0.469","8.3",0.00357,"13.04","13.63","13.23","7.79","7.95","7.9","Ch4","2024-02-18 22:28:31.53","SMR","19.48","02-18_204"
"min120.5_140",120.5,"0.828","7.2",0.00512,"13.25","13.63","13.45","7.81","7.93","7.87","Ch4","2024-02-18 22:48:31","SMR","19.47","02-18_204"
"min140.5_160",140.5,"0.802","7.19",0.00467,"13.1","13.73","13.36","7.81","7.95","7.9","Ch4","2024-02-18 23:08:31.393","SMR","19.48","02-18_204"
"min160.5_180",160.5,"0.191","8.21",0.00202,"13.17","13.8","13.45","7.79","7.93","7.86","Ch4","2024-02-18 23:28:31.799","SMR","19.47","02-18_204"
"min180.5_200",180.5,"0.149","8.2",0.00151,"13.1","13.51","13.28","7.86","7.96","7.91","Ch4","2024-02-18 23:48:31.166","SMR","19.47","02-18_204"
"min200.5_220",200.5,"0.807","6.77",0.00527,"13.2","13.77","13.44","7.78","7.94","7.88","Ch4","2024-02-19 00:08:31.54","SMR","19.48","02-18_204"
"min220.5_240",220.5,"0.672","9.03",0.00501,"13.12","13.69","13.37","7.8","7.95","7.88","Ch4","2024-02-19 00:28:31.938","SMR","19.47","02-18_204"
"min240.5_260",240.5,"0.001","7.89",1e-04,"13.07","13.57","13.26","7.86","7.96","7.92","Ch4","2024-02-19 00:48:31.324","SMR","19.47","02-18_204"
"min260.5_280",260.5,"0.716","6.63",0.00463,"13.22","13.69","13.45","7.8","7.95","7.88","Ch4","2024-02-19 01:08:31.688","SMR","19.47","02-18_204"
"min280.5_300",280.5,"0.377","8.83",0.00326,"13.17","13.79","13.43","7.81","7.96","7.88","Ch4","2024-02-19 01:28:31.081","SMR","19.47","02-18_204"
"min300.5_320",300.5,"0.45","8.94",0.00333,"13.13","13.56","13.33","7.85","7.97","7.91","Ch4","2024-02-19 01:48:31.45","SMR","19.48","02-18_204"
"min320.5_340",320.5,"0.855","6.23",0.0051,"13.04","13.59","13.32","7.84","7.97","7.92","Ch4","2024-02-19 02:08:31.816","SMR","19.47","02-18_204"
