"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min280.5_300",280.5,"0.619","9.1",0.00414,"14.85","15.57","15.09","7.79","7.97","7.9","Ch2","2023-12-11 01:56:09.119","SMR","19.47","12-10_211"
"min300.5_320",300.5,"0.333","8.7",0.00253,"14.81","15.3","15","7.84","7.97","7.92","Ch2","2023-12-11 02:16:09.41","SMR","19.48","12-10_211"
"min320.5_340",320.5,"0.694","6.24",0.00501,"14.92","15.47","15.17","7.81","7.96","7.9","Ch2","2023-12-11 02:36:09.791","SMR","19.47","12-10_211"
"min0.5_20",0.5,"0.585","8.13",0.00333,"14.63","15.32","14.92","8.04","8.17","8.1","Ch3","2023-12-10 21:16:09.442","SMR","19.48","12-10_211"
"min20.5_40",20.5,"0.13","8.11",0.00173,"14.76","15.21","14.95","8.1","8.22","8.17","Ch3","2023-12-10 21:36:09.017","SMR","19.47","12-10_211"
"min40.5_60",40.5,"0.368","7.98",0.00324,"14.9","15.48","15.16","8.06","8.22","8.14","Ch3","2023-12-10 21:56:09.673","SMR","19.47","12-10_211"
"min60.5_80",60.5,"0.748","8.5",0.00494,"14.85","15.43","15.1","8.08","8.23","8.16","Ch3","2023-12-10 22:16:09.555","SMR","19.47","12-10_211"
"min80.5_100",80.5,"0.035","8.24",0.00081,"14.95","15.42","15.14","8.09","8.22","8.17","Ch3","2023-12-10 22:36:08.921","SMR","19.47","12-10_211"
"min100.5_120",100.5,"0.002","8.15",0.00015,"14.98","15.5","15.15","8.08","8.21","8.17","Ch3","2023-12-10 22:56:09.349","SMR","19.48","12-10_211"
"min120.5_140",120.5,"0.337","8.47",0.00242,"14.97","15.47","15.17","8.08","8.21","8.16","Ch3","2023-12-10 23:16:09.845","SMR","19.46","12-10_211"
"min140.5_160",140.5,"0.107","8.42",0.00158,"14.86","15.41","15.06","8.1","8.24","8.18","Ch3","2023-12-10 23:36:09.357","SMR","19.48","12-10_211"
"min160.5_180",160.5,"0.649","7.41",0.00439,"14.9","15.53","15.14","8.07","8.23","8.16","Ch3","2023-12-10 23:56:09.753","SMR","19.47","12-10_211"
"min180.5_200",180.5,"0.118","7.85",0.00163,"14.93","15.46","15.14","8.08","8.22","8.15","Ch3","2023-12-11 00:16:09.151","SMR","19.47","12-10_211"
"min200.5_220",200.5,"0.698","9.05",0.00427,"14.89","15.54","15.15","8.08","8.22","8.15","Ch3","2023-12-11 00:36:09.568","SMR","19.47","12-10_211"
"min220.5_240",220.5,"0.18","8.63",0.00196,"14.87","15.3","15.07","8.11","8.24","8.18","Ch3","2023-12-11 00:56:08.942","SMR","19.47","12-10_211"
"min240.5_260",240.5,"0.619","7.06",0.00441,"14.91","15.51","15.14","8.07","8.23","8.17","Ch3","2023-12-11 01:16:09.302","SMR","19.47","12-10_211"
"min260.5_280",260.5,"0.312","7.3",0.00318,"14.92","15.56","15.19","8.07","8.23","8.16","Ch3","2023-12-11 01:36:09.648","SMR","19.47","12-10_211"
"min280.5_300",280.5,"0.629","9.47",0.0045,"14.85","15.57","15.09","8.05","8.23","8.16","Ch3","2023-12-11 01:56:09.119","SMR","19.47","12-10_211"
"min300.5_320",300.5,"0.296","8.95",0.00247,"14.81","15.3","15","8.1","8.24","8.18","Ch3","2023-12-11 02:16:09.41","SMR","19.48","12-10_211"
"min320.5_340",320.5,"0.699","6.43",0.00525,"14.92","15.47","15.17","8.07","8.22","8.16","Ch3","2023-12-11 02:36:09.791","SMR","19.47","12-10_211"
