date,temperature,time_start,box,channel,genet,tank,run,polyps,measurement,body_size_mm,body_mass_g
11/30/23,19,12:30:00,1,1,B,6,Corynactis,6,polyp 1,4.475,0.6974856249999999
11/30/23,19,12:30:00,1,1,B,6,Corynactis,6,polyp 2,5.194999999999999,0.8725824249999998
11/30/23,19,12:30:00,1,1,B,6,Corynactis,6,polyp 3,3.04,0.40107919999999997
11/30/23,19,12:30:00,1,1,B,6,Corynactis,6,polyp 4,3.4350000000000005,0.4756848250000001
11/30/23,19,12:30:00,1,1,B,6,Corynactis,6,polyp 5,4.64,0.7360552
11/30/23,19,12:30:00,1,1,B,6,Corynactis,6,polyp 6,5.380000000000001,0.9204188000000002
11/30/23,19,12:30:00,1,2,B,7,Corynactis,4,polyp 1,3.615,0.511441825
11/30/23,19,12:30:00,1,2,B,7,Corynactis,4,polyp 2,3.4450000000000003,0.477642425
11/30/23,19,12:30:00,1,2,B,7,Corynactis,4,polyp 3,5.540000000000001,0.9627292000000003
11/30/23,19,12:30:00,1,2,B,7,Corynactis,4,polyp 4,5.15,0.8611225000000001
11/30/23,19,12:30:00,1,3,B,8,Corynactis,6,polyp 1,5.775,1.026450625
11/30/23,19,12:30:00,1,3,B,8,Corynactis,6,polyp 2,3.0949999999999998,0.41114942499999996
11/30/23,19,12:30:00,1,3,B,8,Corynactis,6,polyp 3,5.075000000000001,0.8421756250000002
11/30/23,19,12:30:00,1,3,B,8,Corynactis,6,polyp 4,3.2,0.43066000000000004
11/30/23,19,12:30:00,1,3,B,8,Corynactis,6,polyp 5,4.88,0.7938087999999999
11/30/23,19,12:30:00,1,3,B,8,Corynactis,6,polyp 6,4.56,0.7172391999999999
11/30/23,19,12:30:00,1,4,B,9,Corynactis,4,polyp 1,2.7700000000000005,0.3531353000000001
11/30/23,19,12:30:00,1,4,B,9,Corynactis,4,polyp 2,5.3100000000000005,0.9021817000000001
11/30/23,19,12:30:00,1,4,B,9,Corynactis,4,polyp 3,4.44,0.6894232
11/30/23,19,12:30:00,1,4,B,9,Corynactis,4,polyp 4,4.255,0.6474994249999999
12/1/23,19,12:30:00,1,1,E,6,Corynactis,4,polyp 1,2.45,0.2995225
12/1/23,19,12:30:00,1,1,E,6,Corynactis,4,polyp 2,5.415,0.9295998249999999
12/1/23,19,12:30:00,1,1,E,6,Corynactis,4,polyp 3,3.3950000000000005,0.46788842500000005
12/1/23,19,12:30:00,1,1,E,6,Corynactis,4,polyp 4,3.375,0.46401062499999995
