date,temperature,time_start,box,channel,genet,tank,run,polyps,sum_body_size_mm,min_body_size_mm,mean_body_size_mm,max_body_size_mm,sum_body_mass_g,min_body_mass_g,mean_body_mass_g,max_body_mass_g
11/30/23,19,12:30:00,1,1,B,6,Corynactis,6,26.165,3.04,4.360833333333334,5.380000000000001,4.103306075,0.40107919999999997,0.6838843458333334,0.9204188000000002
11/30/23,19,12:30:00,1,2,B,7,Corynactis,4,17.75,3.4450000000000003,4.4375,5.540000000000001,2.8129359500000004,0.477642425,0.7032339875000001,0.9627292000000003
11/30/23,19,12:30:00,1,3,B,8,Corynactis,6,26.585,3.0949999999999998,4.430833333333333,5.775,4.221483675,0.41114942499999996,0.7035806125,1.026450625
11/30/23,19,12:30:00,1,4,B,9,Corynactis,4,16.775000000000002,2.7700000000000005,4.1937500000000005,5.3100000000000005,2.592239625,0.3531353000000001,0.64805990625,0.9021817000000001
12/1/23,19,12:30:00,1,1,E,6,Corynactis,4,14.635000000000002,2.45,3.6587500000000004,5.415,2.161021375,0.2995225,0.54025534375,0.9295998249999999
12/1/23,19,12:30:00,1,2,E,7,Corynactis,5,21.04,3.0949999999999998,4.207999999999999,5.449999999999999,3.2715137999999993,0.41114942499999996,0.6543027599999999,0.9388224999999999
12/1/23,19,12:30:00,1,3,E,8,Corynactis,8,33.205,2.98,4.150625,5.32,5.115495775,0.39021079999999997,0.639436971875,0.9047768
12/1/23,19,12:30:00,1,4,E,9,Corynactis,7,25.245,2.59,3.6064285714285713,4.33,3.613328325,0.32254969999999994,0.5161897607142857,0.6643553
12/1/23,19,17:45:00,1,1,B,6,Corynactis,3,8.969999999999999,1.7599999999999998,2.9899999999999998,4.97,1.2779696999999999,0.19576719999999997,0.4259899,0.8159713
12/1/23,19,17:45:00,1,2,B,10,Corynactis,5,21.625,3.24,4.325,5.41,3.363266575,0.4381912,0.672653315,0.9282857
12/1/23,19,17:45:00,1,3,E,8,Corynactis,5,25.27,3.965,5.054,6.13,4.2299830499999995,0.5841228249999999,0.8459966099999999,1.1262713
12/1/23,19,17:45:00,1,4,E,10,Corynactis,8,30.275,3.0949999999999998,3.784375,4.93,4.410306674999999,0.41114942499999996,0.5512883343749999,0.8060873
12/10/23,15,11:00:00,1,2,E,3,Corynactis,5,22.235,2.6550000000000002,4.447,6.5600000000000005,3.596836875,0.33346742500000004,0.719367375,1.2529192000000002
12/10/23,15,11:00:00,1,3,E,4,Corynactis,7,28.185000000000002,2.49,4.026428571428571,5.12,4.286695175,0.3060337,0.612385025,0.8535208000000001
12/10/23,15,11:00:00,1,4,E,5,Corynactis,6,23.87,3.3800000000000003,3.9783333333333335,4.625,3.5388214999999996,0.4649788,0.5898035833333333,0.732510625
12/10/23,15,11:00:00,2,1,E,1,Corynactis,3,12.135,3.4350000000000005,4.045,4.745,1.8187546749999999,0.4756848250000001,0.6062515583333333,0.761081425
12/10/23,15,11:00:00,2,2,E,2,Corynactis,6,23.05,2.6649999999999996,3.841666666666667,5.11,3.41440545,0.33515982499999997,0.569067575,0.8509937000000001
12/10/23,15,11:00:00,2,3,E,4,Corynactis,7,27.66,2.7349999999999994,3.9514285714285715,5.66,4.1558835,0.34710182499999986,0.5936976428571429,0.9950332000000001
12/10/23,15,16:00:00,1,2,B,1,Corynactis,3,12.56,2.125,4.1866666666666665,5.745,2.01477275,0.248635625,0.6715909166666667,1.018211425
12/10/23,15,16:00:00,1,3,A,2,Corynactis,3,14.56,4.09,4.8533333333333335,5.395,2.37761375,0.6110897,0.7925379166666666,0.9243484249999998
12/10/23,15,16:00:00,1,4,A,3,Corynactis,4,17.825,3.5050000000000003,4.45625,5.3100000000000005,2.8107849750000002,0.48945942500000006,0.7026962437500001,0.9021817000000001
12/11/23,23,13:00:00,1,2,B,14,Corynactis,7,32.040000000000006,3.145,4.577142857142857,6.630000000000001,5.215506050000001,0.420393425,0.7450722928571429,1.2741313000000003
12/11/23,23,13:00:00,1,3,A,15,Corynactis,7,32.025,3.585,4.575,7.250000000000001,5.211653775,0.505405825,0.744521967857143,1.4692825000000003
12/11/23,23,13:00:00,1,4,E,15,Corynactis,7,24.79,1.27,3.5414285714285714,5.244999999999999,3.6425430999999997,0.1319153,0.5203633,0.8853964249999997
12/11/23,23,13:00:00,2,1,B,11,Corynactis,3,15.184999999999999,4.555,5.0616666666666665,5.475,2.5238984749999998,0.716070425,0.8412994916666666,0.945435625
12/11/23,23,13:00:00,2,2,A,14,Corynactis,5,22.575000000000003,3.8200000000000003,4.515000000000001,5.13,3.5518999250000003,0.5535068000000001,0.7103799850000001,0.8560513000000001
12/11/23,23,13:00:00,2,3,E,14,Corynactis,3,11.135000000000002,3.135,3.711666666666667,4.4350000000000005,1.608211475,0.4185378249999999,0.5360704916666668,0.6882748250000001
12/12/23,15,18:00:00,1,2,B,3,Corynactis,5,26.155,4.109999999999999,5.231,7.324999999999999,4.5219063749999995,0.6154536999999999,0.904381275,1.4937756249999996
12/12/23,15,18:00:00,1,3,E,3,Corynactis,3,13.934999999999999,4.425,4.645,4.96,2.2143783249999998,0.6859806249999999,0.7381261083333333,0.8134952
12/12/23,15,18:00:00,1,4,A,4,Corynactis,4,17.025000000000002,2.67,4.2562500000000005,5.510000000000001,2.6738944250000003,0.3360073,0.6684736062500001,0.9547297000000001
12/12/23,15,18:00:00,2,1,A,2,Corynactis,7,31.349999999999998,3.1999999999999993,4.478571428571429,5.3549999999999995,4.956910499999999,0.4306599999999998,0.7081300714285713,0.9138864249999998
12/12/23,15,18:00:00,2,2,B,2,Corynactis,5,24.07,3.925,4.814,5.620000000000001,3.9290991500000003,0.5756056249999999,0.7858198300000001,0.9842108000000003
12/12/23,15,18:00:00,2,3,E,2,Corynactis,3,11.76,3.5050000000000003,3.92,4.395,1.7304590499999999,0.48945942500000006,0.5768196833333333,0.679118425
12/12/23,19,11:00:00,1,2,A,8,Corynactis,8,33.075,2.3449999999999998,4.134375,5.445,5.066656675,0.28268942499999994,0.633332084375,0.9375024250000001
12/12/23,19,11:00:00,1,3,B,9,Corynactis,3,12.059999999999999,3.495,4.02,4.7299999999999995,1.8016055499999997,0.487481425,0.6005351833333332,0.7574832999999999
12/12/23,19,11:00:00,1,4,E,10,Corynactis,8,32.565,3.0149999999999997,4.070625,5.905,4.944774325,0.39653582499999995,0.618096790625,1.0625074250000002
12/12/23,19,11:00:00,2,1,A,7,Corynactis,6,20.7,2.8249999999999997,3.4499999999999997,4.295,2.9021794499999998,0.362700625,0.48369657499999996,0.6564654249999999
12/12/23,19,11:00:00,2,2,B,7,Corynactis,3,13.12,3.65,4.373333333333333,5.404999999999999,2.0511487499999994,0.5185225,0.6837162499999999,0.9269724249999998
12/12/23,19,11:00:00,2,3,E,7,Corynactis,3,13.899999999999999,3.96,4.633333333333333,5.225,2.21720865,0.5830552,0.73906955,0.8802606249999999
12/2/23,19,12:45:00,1,1,A,6,Corynactis,7,33.005,3.265,4.125625,5.495000000000001,5.016109375,0.442925825,0.627013671875,0.9507414250000004
12/2/23,19,12:45:00,1,2,A,8,Corynactis,3,15.475000000000001,4.615,5.158333333333333,5.985,2.607719275,0.7301518250000001,0.8692397583333334,1.084981825
12/2/23,19,12:45:00,1,3,A,9,Corynactis,5,24.275,3.4699999999999998,4.8549999999999995,5.785,4.012612675,0.4825512999999999,0.802522535,1.0292038250000002
