Date,Temperature,Time start,Time end,Box,Channel,Genet,Tank,Run,Polyps,Comments,size1a (cm),size1b (cm),size2a (cm),size2b (cm),size3a (cm),size3b (cm),size4a (cm),size4b (cm),size5a (cm),size5b (cm),size6a (cm),size6b (cm),size7a (cm),size7b (cm),size8a (cm),size8b (cm),size9a (cm),size9b (cm),size10a (cm),size10b (cm),size11a (cm),size11b (cm)
12/6/23,23,12:00,15:00,1,2,A,13,Corynactis,10,,0.626,0.443,0.6,0.4,0.403,0.28,0.568,0.463,0.383,0.624,0.805,0.484,0.549,0.477,0.43,0.356,0.604,0.457,0.374,0.254,,
12/8/23,15,11:45,16:30,2,1,B,2,Corynactis,5,analyzed photo from 12/8/24,0.409,0.496,0.573,0.609,0.409,0.327,0.471,0.409,0.506,0.41,,,,,,,,,,,,
12/8/23,15,11:45,16:30,2,2,A,3,Corynactis,6,,0.41,0.397,0.522,0.405,0.528,0.452,0.428,0.544,0.628,0.519,0.425,0.358,,,,,,,,,,
12/8/23,15,11:45,16:30,2,3,B,3,Corynactis,8,,0.355,0.286,0.467,0.441,0.41,0.368,0.584,0.644,0.511,0.663,0.501,0.346,0.358,0.428,0.371,0.458,,,,,,
12/9/23,15,12:20,15:30,2,1,A,1,Corynactis,6,,0.435,0.455,0.522,0.56,0.385,0.385,0.37,0.361,0.859,0.478,0.424,0.339,,,,,,,,,,
12/9/23,15,12:20,15:30,2,2,B,1,Corynactis,5,,0.366,0.373,0.647,0.521,0.242,0.213,0.413,0.395,0.556,0.431,,,,,,,,,,,,
12/9/23,15,12:20,15:30,2,3,A,4,Corynactis,4,,0.422,0.363,0.455,0.323,0.687,0.604,0.446,0.348,,,,,,,,,,,,,,
12/9/23,15,12:20,15:30,1,2,B,4,Corynactis,3,,0.507,0.426,0.538,0.491,0.409,0.356,,,,,,,,,,,,,,,,
12/9/23,15,12:20,15:30,1,3,A,5,Corynactis,7,,0.497,0.378,0.59,0.423,0.365,0.318,0.544,0.455,0.483,0.437,,,,,,,,,,,,
12/9/23,15,12:20,15:30,1,4,B,5,Corynactis,3,,0.406,0.431,0.383,0.328,0.467,0.428,,,,,,,,,,,,,,,,
12/10/23,15,11:00,14:15,2,1,E,1,Corynactis,3,,0.421,0.37,0.386,0.301,0.528,0.421,,,,,,,,,,,,,,,,
12/10/23,15,11:00,14:15,2,2,E,2,Corynactis,6,,0.324,0.398,0.339,0.289,0.454,0.568,0.358,0.495,0.245,0.288,0.45,0.402,,,,,,,,,,
12/10/23,15,11:00,14:15,2,3,E,4,Corynactis,7,,0.469,0.404,0.287,0.4,0.32,0.37,0.386,0.387,0.284,0.263,0.326,0.504,0.764,0.368,,,,,,,,
12/10/23,15,11:00,14:15,1,2,E,3,Corynactis,5,actually 7 polyps but removed 2 tiny maybe,0.569,0.422,0.678,0.634,0.453,0.32,0.271,0.26,0.469,0.371,,,,,,,,,,,,
12/10/23,15,11:00,14:15,1,3,E,4,Corynactis,7,,0.356,0.307,0.515,0.451,0.219,0.279,0.544,0.431,0.292,0.349,0.442,0.428,0.56,0.464,,,,,,,,
12/10/23,15,11:00,14:15,1,4,E,5,Corynactis,6,two tiny polyps (not measured or counted) - not sure if they were left for respirometry,0.527,0.398,0.41,0.349,0.362,0.393,0.335,0.341,0.507,0.365,0.439,0.348,,,,,,,,,,
12/10/23,15,16:00,19:20,1,2,B,1,Corynactis,3,,0.216,0.209,0.616,0.533,0.538,0.4,,,,,,,,,,,,,,,,
12/10/23,15,16:00,19:20,1,3,A,2,Corynactis,3,,0.633,0.446,0.41,0.408,0.645,0.37,,,,,,,,,,,,,,,,
12/10/23,15,16:00,19:20,1,4,A,3,Corynactis,4,,0.367,0.334,0.512,0.55,0.589,0.422,0.453,0.338,,,,,,,,,,,,,,
12/11/23,23,13:00,16:00,2,1,B,11,Corynactis,3,,0.601,0.494,0.503,0.408,0.569,0.462,,,,,,,,,,,,,,,,
12/11/23,23,13:00,16:00,2,2,A,14,Corynactis,5,,0.469,0.488,0.513,0.513,0.442,0.394,0.443,0.321,0.538,0.394,,,,,,,,,,,,
