"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min45_160",45.00355,0.953611769046871,7.66570886957431,-0.0014591797194523,13.06,13.78,13.35,"Ch1",NA,"SMR",114.993033333333,0.000304831715285166,7.06e-05,0.822740712738041,"A-B12-P4",0.088,-0.000797946623912538,1,1,5.80854943193057e-05,0.822740712738042,0.822740712738041
"min45_160",45.00355,0.967984875004462,7.9449535631747,-0.00181019836864777,13.06,13.78,13.35,"Ch2",NA,"SMR",114.993033333333,0.000304831715285166,8.53e-05,0.901082274719914,"A-B14-P5",0.088,-0.000935008278256244,1,1,7.68623180336086e-05,0.901082274719913,0.901082274719914
"min45_160",45.00355,0.91894821445435,7.95952957801195,-0.00103411002148166,13.06,13.78,13.35,"Ch4",NA,"SMR",114.993033333333,0.000304831715285166,4.86e-05,0.328386786570204,"A-B12-P3",0.088,-0.00121489797693925,1,1,1.59595978273119e-05,0.328386786570204,0.328386786570204
