"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","ID_code","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min30_59",30.0066166666667,0.985163154894043,7.91949839925004,-0.00496100907286915,23.11,23.3,23.19,"Ch1","2023-12-05 10:50:09","SMR",28.58255,"down",5.79e-05,1.35105383868392,"E11",0.088,-0.00406881294008372,1,1,7.82260172597991e-05,1.35105383868392,1.35105383868392
"min83_128",83.16325,0.972485031714507,7.81353668145066,-0.00316639446727506,23,23.27,23.1,"Ch1","2023-12-05 11:43:18","SMR",45.3313833333333,"down",5.79e-05,1.37471778664623,"E11",0.088,-0.00406881294008372,1,1,7.95961598468169e-05,1.37471778664623,1.37471778664623
"min30_59",30.0066166666667,0.989618220306251,7.68007728437358,-0.00642394796284098,23.11,23.3,23.19,"Ch2","2023-12-05 10:50:09","SMR",28.58255,"down",0.0001118,1.84734959410012,"A15",0.088,-0.00406881294008372,1,1,0.000206533684620394,1.84734959410012,1.84734959410012
"min83_128",83.16325,0.982464632453544,7.53727257002691,-0.0042308419074663,23,23.27,23.1,"Ch2","2023-12-05 11:43:18","SMR",45.3313833333333,"down",0.0001118,0.12330537571031,"A15",0.088,-0.00406881294008372,1,1,1.37855410044127e-05,0.12330537571031,0.12330537571031
"min30_59",30.0066166666667,0.984124871580757,7.69996054709392,-0.00475255532657883,23.11,23.3,23.19,"Ch3","2023-12-05 10:50:09","SMR",28.58255,"down",0.0001182,0.50429422988129,"B15",0.088,-0.00406881294008372,1,1,5.96075779719685e-05,0.50429422988129,0.50429422988129
"min62_80",61.5891666666667,0.819559883068887,7.55399827271811,-0.00256184440306127,22.99,23.28,23.17,"Ch3","2023-12-05 11:21:44","SMR",18.5740833333333,"down",0.0001182,1.12450119514735,"B15",0.088,-0.00406881294008372,1,1,0.000132916041266417,1.12450119514735,1.12450119514735
"min83_128",83.16325,0.990302255976649,7.70074474690272,-0.00485137402743556,23,23.27,23.1,"Ch3","2023-12-05 11:43:18","SMR",45.3313833333333,"down",0.0001182,0.577766017571231,"B15",0.088,-0.00406881294008372,1,1,6.82919432769195e-05,0.577766017571231,0.577766017571231
"min30_59",30.0066166666667,0.992230894374893,8.06182434375441,-0.00653404580893134,23.11,23.3,23.19,"Ch4","2023-12-05 10:50:09","SMR",28.58255,"down",3.79e-05,5.71748950191115,"E15",0.088,-0.00406881294008372,1,1,0.000216692852122432,5.71748950191115,5.71748950191115
"min62_80",61.5891666666667,0.845066584249492,7.82979540295787,-0.00274293852091654,22.99,23.28,23.17,"Ch4","2023-12-05 11:21:44","SMR",18.5740833333333,"down",3.79e-05,3.08129040255024,"E15",0.088,-0.00406881294008372,1,1,0.000116780906256654,3.08129040255024,3.08129040255024
"min83_128",83.16325,0.981587990794155,7.8379584048683,-0.00323821845032672,23,23.27,23.1,"Ch4","2023-12-05 11:43:18","SMR",45.3313833333333,"down",3.79e-05,1.93179534506287,"E15",0.088,-0.00406881294008372,1,1,7.3215043577883e-05,1.93179534506287,1.93179534506287
