"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min60_75",60,0.96472014508255,7.82778654206433,-0.00540981210401573,19.12,19.12,19.12,"Ch2",NA,"SMR",15,1.00649318303628e-15,0.0001469,1.44906355386676,NA,0.088,-0.00298183326923042,1,1,0.000212867436063027,1.44906355386676,1.44906355386676
"min80_100",80,0.979654778020827,7.8184028076961,-0.0052555838259021,19.12,19.12,19.12,"Ch2",NA,"SMR",20,1.00649318303628e-15,0.0001469,1.35682779934025,NA,0.088,-0.00298183326923042,1,1,0.000199318003723083,1.35682779934025,1.35682779934025
"min130_140",130,0.92112492810997,7.86835170679734,-0.00492034147074592,19.12,19.12,19.12,"Ch2",NA,"SMR",10,1.00649318303628e-15,0.0001469,1.15633712437925,NA,0.088,-0.00298183326923042,1,1,0.000169865923571311,1.15633712437925,1.15633712437925
"min143_155",143,0.946520023345036,7.84729831015316,-0.00477455130829715,19.12,19.12,19.12,"Ch2",NA,"SMR",12,1.00649318303628e-15,0.0001469,1.06914775936476,NA,0.088,-0.00298183326923042,1,1,0.000157057805850683,1.06914775936476,1.06914775936476
"min60_75",60,0.966017486376002,7.89794199581395,-0.00459749160479728,19.12,19.12,19.12,"Ch3",NA,"SMR",15,1.00649318303628e-15,4.78e-05,2.96983626425051,NA,0.088,-0.00298183326923042,1,1,0.000141958173431174,2.96983626425051,2.96983626425051
"min80_100",80,0.978182849563711,7.87796034189174,-0.0043194855768465,19.12,19.12,19.12,"Ch3",NA,"SMR",20,1.00649318303628e-15,4.78e-05,2.45830400961594,NA,0.088,-0.00298183326923042,1,1,0.000117506931659642,2.45830400961594,2.45830400961594
"min130_140",130,0.892437359988796,7.89221148398574,-0.00372191614170632,19.12,19.12,19.12,"Ch3",NA,"SMR",10,1.00649318303628e-15,4.78e-05,1.35877374866748,NA,0.088,-0.00298183326923042,1,1,6.49493851863056e-05,1.35877374866748,1.35877374866748
"min143_155",143,0.934036188309644,7.89654386113476,-0.00376434497658938,19.12,19.12,19.12,"Ch3",NA,"SMR",12,1.00649318303628e-15,4.78e-05,1.43684298237882,NA,0.088,-0.00298183326923042,1,1,6.86810945577075e-05,1.43684298237882,1.43684298237882
"min60_75",60,0.969096737761618,8.07459912790232,-0.0047423218514504,19.12,19.12,19.12,"Ch4",NA,"SMR",15,1.00649318303628e-15,0.000141,1.09400232520783,NA,0.088,-0.00298183326923042,1,1,0.000154254327854304,1.09400232520783,1.09400232520783
"min80_100",80,0.982236899129339,8.08498280452281,-0.0048914361674551,19.12,19.12,19.12,"Ch4",NA,"SMR",20,1.00649318303628e-15,0.000141,1.1869174648522,NA,0.088,-0.00298183326923042,1,1,0.000167355362544161,1.1869174648522,1.1869174648522
"min130_140",130,0.926075346240206,8.09038949223786,-0.00425443123605496,19.12,19.12,19.12,"Ch4",NA,"SMR",10,1.00649318303628e-15,0.000141,0.789991108342381,NA,0.088,-0.00298183326923042,1,1,0.000111388746276276,0.789991108342381,0.789991108342381
"min143_155",143,0.959114750691977,8.1455977733329,-0.00464641230063644,19.12,19.12,19.12,"Ch4",NA,"SMR",12,1.00649318303628e-15,0.000141,1.03423979169745,NA,0.088,-0.00298183326923042,1,1,0.00014582781062934,1.03423979169745,1.03423979169745
