#--- Experiment --------------------------------------------------------------------------
#120923_15C_A1B1A4B4A5B5_tile
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#HOFFMAN-LAB01
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 BOX2 [B] FSO2-C4 SN:24C53407596FD0B5 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.10°C
#--- Measurement Data --------------------------------------------------------------------
Date [B T1]	Time [B T1]	 dt (s) [B T1]	Sample Temp. (°C) [B T1]	Status [B T1]
09-12-2023	16:09:35.625	110.058	14.904	OK
09-12-2023	16:09:36.623	111.056	14.904	OK
09-12-2023	16:09:37.625	112.058	14.905	OK
09-12-2023	16:09:38.625	113.058	14.908	OK
09-12-2023	16:09:39.626	114.059	14.911	OK
09-12-2023	16:09:40.624	115.057	14.910	OK
09-12-2023	16:09:41.627	116.060	14.910	OK
09-12-2023	16:09:42.628	117.061	14.908	OK
09-12-2023	16:09:43.627	118.060	14.910	OK
09-12-2023	16:09:44.629	119.062	14.914	OK
09-12-2023	16:09:45.628	120.061	14.917	OK
09-12-2023	16:09:46.630	121.063	14.917	OK
09-12-2023	16:09:47.630	122.063	14.917	OK
09-12-2023	16:09:48.631	123.064	14.915	OK
09-12-2023	16:09:49.629	124.062	14.913	OK
09-12-2023	16:09:50.629	125.062	14.911	OK
09-12-2023	16:09:51.629	126.062	14.912	OK
09-12-2023	16:09:52.630	127.063	14.914	OK
09-12-2023	16:09:53.630	128.063	14.921	OK
09-12-2023	16:09:54.629	129.062	14.926	OK
09-12-2023	16:09:55.631	130.064	14.932	OK
09-12-2023	16:09:56.632	131.065	14.935	OK
09-12-2023	16:09:57.631	132.064	14.933	OK
09-12-2023	16:09:58.633	133.066	14.931	OK
09-12-2023	16:09:59.632	134.065	14.929	OK
09-12-2023	16:10:00.630	135.063	14.929	OK
09-12-2023	16:10:01.633	136.066	14.926	OK
09-12-2023	16:10:02.634	137.067	14.923	OK
09-12-2023	16:10:03.635	138.068	14.921	OK
09-12-2023	16:10:04.635	139.068	14.922	OK
09-12-2023	16:10:05.634	140.067	14.923	OK
09-12-2023	16:10:06.635	141.068	14.922	OK
09-12-2023	16:10:07.636	142.069	14.920	OK
09-12-2023	16:10:08.636	143.069	14.920	OK
09-12-2023	16:10:09.636	144.069	14.922	OK
09-12-2023	16:10:10.636	145.069	14.923	OK
09-12-2023	16:10:11.637	146.070	14.925	OK
09-12-2023	16:10:12.636	147.069	14.927	OK
09-12-2023	16:10:13.637	148.070	14.926	OK
09-12-2023	16:10:14.637	149.070	14.925	OK
09-12-2023	16:10:15.638	150.071	14.925	OK
09-12-2023	16:10:16.640	151.073	14.924	OK
09-12-2023	16:10:17.642	152.075	14.924	OK
09-12-2023	16:10:18.643	153.076	14.925	OK
09-12-2023	16:10:19.641	154.074	14.922	OK
09-12-2023	16:10:20.642	155.075	14.923	OK
09-12-2023	16:10:21.643	156.076	14.926	OK
09-12-2023	16:10:22.645	157.078	14.925	OK
09-12-2023	16:10:23.644	158.077	14.927	OK
09-12-2023	16:10:24.646	159.079	14.930	OK
09-12-2023	16:10:25.646	160.079	14.931	OK
09-12-2023	16:10:26.645	161.078	14.934	OK
09-12-2023	16:10:27.647	162.080	14.936	OK
09-12-2023	16:10:28.647	163.080	14.942	OK
09-12-2023	16:10:29.647	164.080	14.947	OK
09-12-2023	16:10:30.648	165.081	14.956	OK
09-12-2023	16:10:31.649	166.082	14.963	OK
09-12-2023	16:10:32.649	167.082	14.969	OK
09-12-2023	16:10:33.650	168.083	14.970	OK
09-12-2023	16:10:34.652	169.085	14.974	OK
