#--- Experiment --------------------------------------------------------------------------																									
#1024_background1_withtile																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com																									
#HOFFMAN-LAB01																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 BOX2 [A] FSO2-C4 SN:24C53407596FD0B5 Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.1] - Oxygen Sensor - XB7-538-217 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	2	Fixed Pressure (mbar)	1013.000000	27.250000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	10/12/2023	10/9/2023	23.253998	53.670000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1007.594971	17.027601	100.000000	21.827000	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Fixed Pressure																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
24-10-2023	13:24:50.234	80.938	101.683	22.966	249	0	OK	24-10-2023	13:24:50.234	80.938	17.265	OK	24-10-2023	13:24:50.234	80.938	1013	OK	24-10-2023	13:24:49.334	80.038	17.264	OK			
24-10-2023	13:24:51.235	81.939	101.797	22.953	249	0	OK	24-10-2023	13:24:51.235	81.939	17.263	OK	24-10-2023	13:24:51.235	81.939	1013	OK	24-10-2023	13:24:50.334	81.038	17.265	OK			
24-10-2023	13:24:52.234	82.939	101.721	22.962	249	0	OK	24-10-2023	13:24:52.234	82.939	17.261	OK	24-10-2023	13:24:52.234	82.939	1013	OK	24-10-2023	13:24:51.333	82.038	17.263	OK			
24-10-2023	13:24:53.234	83.939	101.694	22.965	249	0	OK	24-10-2023	13:24:53.234	83.939	17.263	OK	24-10-2023	13:24:53.234	83.939	1013	OK	24-10-2023	13:24:52.334	83.038	17.261	OK			
24-10-2023	13:24:54.233	84.938	101.726	22.961	249	0	OK	24-10-2023	13:24:54.233	84.938	17.265	OK	24-10-2023	13:24:54.233	84.938	1013	OK	24-10-2023	13:24:53.334	84.039	17.263	OK			
24-10-2023	13:24:55.233	85.938	101.689	22.965	249	0	OK	24-10-2023	13:24:55.233	85.938	17.268	OK	24-10-2023	13:24:55.233	85.938	1013	OK	24-10-2023	13:24:54.334	85.039	17.265	OK			
24-10-2023	13:24:56.235	86.940	101.800	22.952	249	0	OK	24-10-2023	13:24:56.235	86.940	17.269	OK	24-10-2023	13:24:56.235	86.940	1013	OK	24-10-2023	13:24:55.335	86.040	17.268	OK			
24-10-2023	13:24:57.233	87.938	101.713	22.962	249	0	OK	24-10-2023	13:24:57.233	87.938	17.270	OK	24-10-2023	13:24:57.233	87.938	1013	OK	24-10-2023	13:24:56.335	87.040	17.268	OK			
24-10-2023	13:24:58.237	88.942	101.739	22.959	249	0	OK	24-10-2023	13:24:58.237	88.942	17.270	OK	24-10-2023	13:24:58.237	88.942	1013	OK	24-10-2023	13:24:57.334	88.039	17.270	OK			
24-10-2023	13:24:59.238	89.942	101.799	22.952	249	0	OK	24-10-2023	13:24:59.238	89.942	17.270	OK	24-10-2023	13:24:59.238	89.942	1013	OK	24-10-2023	13:24:58.334	89.039	17.270	OK			
24-10-2023	13:25:00.235	90.940	101.704	22.963	249	0	OK	24-10-2023	13:25:00.235	90.940	17.270	OK	24-10-2023	13:25:00.235	90.940	1013	OK	24-10-2023	13:24:59.335	90.039	17.269	OK			
24-10-2023	13:25:01.235	91.940	101.689	22.965	249	0	OK	24-10-2023	13:25:01.235	91.940	17.268	OK	24-10-2023	13:25:01.235	91.940	1013	OK	24-10-2023	13:25:00.336	91.040	17.270	OK			
24-10-2023	13:25:02.237	92.942	101.705	22.963	249	0	OK	24-10-2023	13:25:02.237	92.942	17.269	OK	24-10-2023	13:25:02.237	92.942	1013	OK	24-10-2023	13:25:01.335	92.040	17.269	OK			
24-10-2023	13:25:03.236	93.941	101.739	22.959	249	0	OK	24-10-2023	13:25:03.236	93.941	17.270	OK	24-10-2023	13:25:03.236	93.941	1013	OK	24-10-2023	13:25:02.336	93.041	17.270	OK			
24-10-2023	13:25:04.235	94.940	101.754	22.957	249	0	OK	24-10-2023	13:25:04.235	94.940	17.272	OK	24-10-2023	13:25:04.235	94.940	1013	OK	24-10-2023	13:25:03.336	94.041	17.270	OK			
24-10-2023	13:25:05.235	95.940	101.746	22.958	249	0	OK	24-10-2023	13:25:05.235	95.940	17.271	OK	24-10-2023	13:25:05.235	95.940	1013	OK	24-10-2023	13:25:04.337	95.041	17.272	OK			
24-10-2023	13:25:06.236	96.941	101.695	22.964	249	0	OK	24-10-2023	13:25:06.236	96.941	17.271	OK	24-10-2023	13:25:06.236	96.941	1013	OK	24-10-2023	13:25:05.336	96.041	17.271	OK			
24-10-2023	13:25:07.235	97.940	101.696	22.964	249	0	OK	24-10-2023	13:25:07.235	97.940	17.270	OK	24-10-2023	13:25:07.235	97.940	1013	OK	24-10-2023	13:25:06.336	97.041	17.271	OK			
