#--- Experiment --------------------------------------------------------------------------																																											
#11052023_background_pre																																											
#																																											
#--- System ------------------------------------------------------------------------------																																											
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com																																											
#HOFFMAN-LAB01																																											
#--- Instrument --------------------------------------------------------------------------																																											
#Device: FireSting-O2 BOX1 [B] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [B Ch.1] - Oxygen Sensor - XB7-538-214 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	11/5/2023	11/5/2023	22.950000	53.351000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1014.913000	17.577000	100.000000	21.631000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [B P1] - Fixed Pressure																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [B Ch.2] - Oxygen Sensor - XB7-528-210 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	11/5/2023	11/5/2023	23.155000	52.776000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1014.871000	17.634000	100.000000	21.617000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [B P1] - Fixed Pressure																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#--- Measurement Data --------------------------------------------------------------------																																											
Date [B Ch.1 Main]	Time [B Ch.1 Main]	 dt (s) [B Ch.1 Main]	Oxygen (%air sat.) [B Ch.1 Main]	dphi (°) [B Ch.1 Main]	Signal Intensity (mV) [B Ch.1 Main]	Ambient Light (mV) [B Ch.1 Main]	Status [B Ch.1 Main]	Date [B Ch.1 CompT]	Time [B Ch.1 CompT]	 dt (s) [B Ch.1 CompT]	Sample Temp. (°C) [B Ch.1 CompT]	Status [B Ch.1 CompT]	Date [B Ch.1 CompP]	Time [B Ch.1 CompP]	 dt (s) [B Ch.1 CompP]	Pressure (mbar) [B Ch.1 CompP]	Status [B Ch.1 CompP]	Date [B Ch.2 Main]	Time [B Ch.2 Main]	 dt (s) [B Ch.2 Main]	Oxygen (%air sat.) [B Ch.2 Main]	dphi (°) [B Ch.2 Main]	Signal Intensity (mV) [B Ch.2 Main]	Ambient Light (mV) [B Ch.2 Main]	Status [B Ch.2 Main]	Date [B Ch.2 CompT]	Time [B Ch.2 CompT]	 dt (s) [B Ch.2 CompT]	Sample Temp. (°C) [B Ch.2 CompT]	Status [B Ch.2 CompT]	Date [B Ch.2 CompP]	Time [B Ch.2 CompP]	 dt (s) [B Ch.2 CompP]	Pressure (mbar) [B Ch.2 CompP]	Status [B Ch.2 CompP]	Date [B T1]	Time [B T1]	 dt (s) [B T1]	Sample Temp. (°C) [B T1]	Status [B T1]	Date [Comment]	Time [Comment]	Comment
05-11-2023	09:49:52.192	14.873	94.134	23.955	217	0	OK	05-11-2023	09:49:52.192	14.873	15.159	OK	05-11-2023	09:49:52.192	14.873	1013	OK	05-11-2023	09:49:51.287	13.968	95.255	24.020	159	0	OK	05-11-2023	09:49:51.287	13.968	15.159	OK	05-11-2023	09:49:51.287	13.968	1013	OK	05-11-2023	09:49:51.389	14.070	15.159	OK			
05-11-2023	09:49:53.189	15.870	94.101	23.959	217	0	OK	05-11-2023	09:49:53.189	15.870	15.160	OK	05-11-2023	09:49:53.189	15.870	1013	OK	05-11-2023	09:49:52.283	14.964	95.272	24.018	159	0	OK	05-11-2023	09:49:52.283	14.964	15.159	OK	05-11-2023	09:49:52.283	14.964	1013	OK	05-11-2023	09:49:52.384	15.065	15.159	OK			
05-11-2023	09:49:54.192	16.873	94.180	23.949	217	0	OK	05-11-2023	09:49:54.192	16.873	15.160	OK	05-11-2023	09:49:54.192	16.873	1013	OK	05-11-2023	09:49:53.279	15.960	95.392	24.003	158	0	OK	05-11-2023	09:49:53.279	15.960	15.160	OK	05-11-2023	09:49:53.279	15.960	1013	OK	05-11-2023	09:49:53.381	16.062	15.160	OK			
05-11-2023	09:49:55.192	17.873	94.196	23.947	217	0	OK	05-11-2023	09:49:55.192	17.873	15.160	OK	05-11-2023	09:49:55.192	17.873	1013	OK	05-11-2023	09:49:54.283	16.964	95.513	23.988	158	0	OK	05-11-2023	09:49:54.283	16.964	15.160	OK	05-11-2023	09:49:54.283	16.964	1013	OK	05-11-2023	09:49:54.384	17.065	15.159	OK			
05-11-2023	09:49:56.191	18.872	94.221	23.944	217	0	OK	05-11-2023	09:49:56.191	18.872	15.159	OK	05-11-2023	09:49:56.191	18.872	1013	OK	05-11-2023	09:49:55.283	17.964	95.472	23.993	158	0	OK	05-11-2023	09:49:55.283	17.964	15.160	OK	05-11-2023	09:49:55.283	17.964	1013	OK	05-11-2023	09:49:55.385	18.066	15.161	OK			
05-11-2023	09:49:57.193	19.874	94.196	23.947	217	0	OK	05-11-2023	09:49:57.193	19.874	15.160	OK	05-11-2023	09:49:57.193	19.874	1013	OK	05-11-2023	09:49:56.282	18.963	95.425	23.999	158	1	OK	05-11-2023	09:49:56.282	18.963	15.159	OK	05-11-2023	09:49:56.282	18.963	1013	OK	05-11-2023	09:49:56.382	19.063	15.158	OK			
05-11-2023	09:49:58.189	20.870	94.292	23.935	217	0	OK	05-11-2023	09:49:58.189	20.870	15.159	OK	05-11-2023	09:49:58.189	20.870	1013	OK	05-11-2023	09:49:57.285	19.966	95.537	23.985	158	0	OK	05-11-2023	09:49:57.285	19.966	15.160	OK	05-11-2023	09:49:57.285	19.966	1013	OK	05-11-2023	09:49:57.386	20.068	15.160	OK			
05-11-2023	09:49:59.189	21.870	94.361	23.926	217	0	OK	05-11-2023	09:49:59.189	21.870	15.161	OK	05-11-2023	09:49:59.189	21.870	1013	OK	05-11-2023	09:49:58.279	20.960	95.546	23.984	158	0	OK	05-11-2023	09:49:58.279	20.960	15.159	OK	05-11-2023	09:49:58.279	20.960	1013	OK	05-11-2023	09:49:58.378	21.059	15.159	OK			
05-11-2023	09:50:00.205	22.886	94.394	23.922	217	0	OK	05-11-2023	09:50:00.205	22.886	15.160	OK	05-11-2023	09:50:00.205	22.886	1013	OK	05-11-2023	09:49:59.279	21.960	95.625	23.974	158	0	OK	05-11-2023	09:49:59.279	21.960	15.161	OK	05-11-2023	09:49:59.279	21.960	1013	OK	05-11-2023	09:49:59.379	22.060	15.161	OK			
05-11-2023	09:50:01.191	23.872	94.343	23.928	216	0	OK	05-11-2023	09:50:01.191	23.872	15.163	OK	05-11-2023	09:50:01.191	23.872	1013	OK	05-11-2023	09:50:00.295	22.976	95.698	23.965	158	0	OK	05-11-2023	09:50:00.295	22.976	15.161	OK	05-11-2023	09:50:00.295	22.976	1013	OK	05-11-2023	09:50:00.395	23.076	15.161	OK			
05-11-2023	09:50:02.194	24.875	94.416	23.919	216	0	OK	05-11-2023	09:50:02.194	24.875	15.162	OK	05-11-2023	09:50:02.194	24.875	1013	OK	05-11-2023	09:50:01.282	23.963	95.647	23.971	158	0	OK	05-11-2023	09:50:01.282	23.963	15.163	OK	05-11-2023	09:50:01.282	23.963	1013	OK	05-11-2023	09:50:01.383	24.064	15.163	OK			
05-11-2023	09:50:03.194	25.875	94.336	23.929	216	0	OK	05-11-2023	09:50:03.194	25.875	15.163	OK	05-11-2023	09:50:03.194	25.875	1013	OK	05-11-2023	09:50:02.285	24.966	95.834	23.948	158	0	OK	05-11-2023	09:50:02.285	24.966	15.162	OK	05-11-2023	09:50:02.285	24.966	1013	OK	05-11-2023	09:50:02.385	25.066	15.162	OK			
05-11-2023	09:50:04.195	26.876	94.368	23.925	216	0	OK	05-11-2023	09:50:04.195	26.876	15.162	OK	05-11-2023	09:50:04.195	26.876	1013	OK	05-11-2023	09:50:03.286	25.967	95.736	23.960	158	0	OK	05-11-2023	09:50:03.286	25.967	15.163	OK	05-11-2023	09:50:03.286	25.967	1013	OK	05-11-2023	09:50:03.385	26.066	15.163	OK			
